iter	Passed	Remaining
0	2	505
1	4	446
2	6	403
3	7	379
4	9	362
5	11	376
6	13	384
7	16	385
8	17	381
9	20	384
10	21	377
11	23	368
12	25	362
13	26	354
14	28	352
15	30	349
16	32	344
17	33	343
18	35	341
19	37	336
20	39	332
21	40	328
22	43	331
23	44	328
24	46	323
25	48	321
26	52	337
27	54	334
28	56	331
29	58	333
30	61	332
31	62	328
32	63	323
33	65	318
34	66	314
35	68	310
36	69	307
37	71	303
38	73	304
39	75	303
40	77	300
41	79	297
42	80	295
43	82	293
44	84	291
45	85	287
46	87	286
47	89	283
48	90	280
49	92	276
50	93	274
51	95	271
52	96	268
53	98	265
54	99	263
55	101	261
56	103	259
57	105	257
58	106	255
59	108	252
60	109	249
61	111	247
62	112	244
63	114	242
64	115	239
65	116	237
66	118	235
67	120	233
68	121	231
69	123	229
70	124	226
71	126	224
72	127	222
73	129	220
74	130	217
75	132	216
76	134	214
77	135	211
78	136	209
79	137	206
80	139	204
81	140	202
82	142	200
83	143	198
84	145	196
85	146	194
86	148	192
87	149	190
88	151	188
89	152	186
90	153	184
91	155	181
92	156	179
93	157	177
94	158	175
95	160	173
96	162	172
97	163	170
98	165	168
99	166	166
100	168	164
101	169	163
102	171	161
103	172	159
104	173	157
105	174	155
106	176	153
107	178	151
108	179	149
109	180	147
110	182	145
111	183	144
112	184	142
113	186	140
114	187	138
115	189	137
116	191	135
117	192	134
118	194	132
119	195	130
120	197	128
121	198	126
122	199	124
123	200	123
124	202	121
125	203	119
126	205	118
127	207	116
128	208	114
129	210	113
130	211	111
131	213	109
132	214	108
133	215	106
134	217	104
135	218	102
136	220	101
137	223	100
138	225	99
139	227	97
140	229	95
141	230	94
142	232	92
143	234	91
144	235	89
145	237	87
146	238	86
147	240	84
148	241	82
149	243	81
150	244	79
151	245	77
152	247	75
153	249	74
154	251	72
155	252	71
156	253	69
157	255	67
158	256	66
159	257	64
160	259	62
161	260	61
162	261	59
163	263	57
164	265	56
165	266	54
166	267	52
167	269	51
168	270	49
169	272	48
170	273	46
171	275	44
172	276	43
173	278	41
174	279	39
175	280	38
176	282	36
177	283	35
178	284	33
179	286	31
180	287	30
181	288	28
182	290	26
183	291	25
184	293	23
185	295	22
186	296	20
187	298	19
188	299	17
189	300	15
190	302	14
191	303	12
192	304	11
193	305	9
194	306	7
195	308	6
196	310	4
197	311	3
198	313	1
199	314	0
